Date,Power_kW,Holiday,Weekday,Hour,temp_C,solarRad_W/m2,Power-1,Power_kW_XGB,Power_kW_BT,Power_kW_GB
2019-01-01,126.15460869565217,0.0,1.0,12.0,11.565471014492754,122.68609057971014,126.1734347826087,129.01863,128.70365144,129.8567669444282
2019-01-02,206.49545833333332,1.9166666666666667,2.0,11.5,11.409097222222222,117.56653125000001,206.31983333333335,206.89792,208.8516218425,207.59299890375473
2019-01-03,223.45166666666668,2.0,3.0,11.5,6.743951388888888,107.75327083333333,223.20520833333333,223.93684,223.06480461416666,225.11776123942366
2019-01-04,227.7491666666667,2.0,4.0,11.5,8.954302083333333,77.00251388888888,227.973625,226.91995,227.71224570791665,226.38109931493838
2019-01-05,128.59858333333332,1.0,5.0,11.5,10.174999999999999,120.45405208333334,128.62508333333332,128.90631,129.97655405583333,128.90039929078685
2019-01-06,125.67966666666666,1.0,6.0,11.5,9.620333333333333,123.13108333333332,125.56254166666668,125.86044,125.96996427166665,125.87428424807258
2019-01-07,229.7275,2.0,0.0,11.5,11.079045138888889,124.69710763888888,229.719125,227.82051,229.42789612166666,225.64279805028215
2019-01-08,227.88929166666665,2.0,1.0,11.5,11.192989583333334,123.94528472222221,227.46379166666668,226.11743,226.43918369041668,223.75776122405952
2019-01-09,230.72429166666666,2.0,2.0,11.5,11.938062500000001,120.37461111111111,230.92737499999998,228.38834,227.97964215541666,227.11574004815074
2019-01-10,226.66704166666668,2.0,3.0,11.5,10.95111111111111,121.6660625,226.33829166666666,225.17438,225.91880546083334,224.3628886556377
2019-01-11,232.40233333333333,2.0,4.0,11.5,8.620045138888889,122.56025694444445,232.74916666666664,232.02492,231.87844505583337,230.42278781983558
2019-01-12,132.02470833333334,1.0,5.0,11.5,8.699815972222222,124.49566666666668,132.25375,132.94766,133.86927330291667,132.1753511682604
2019-01-13,130.132,1.0,6.0,11.5,9.413027777777778,126.38555208333332,129.84654166666667,130.04185,129.91386957791667,129.75654374955826
2019-01-14,241.39587500000002,2.0,0.0,11.5,10.62915625,120.15485069444445,240.506875,236.96169,234.4850637675,234.73464649352616
2019-01-15,248.968875,2.0,1.0,11.5,10.331770833333334,84.18880555555556,249.06204166666666,247.23557,247.33527098583332,244.07471390262086
2019-01-16,267.55991666666665,2.0,2.0,11.5,9.839722222222223,42.48880555555555,267.81233333333336,255.62123,257.0970046720833,257.9622804185703
2019-01-17,243.58166666666668,2.0,3.0,11.5,10.076006944444444,126.9143923611111,243.40075000000002,238.91252,238.45658708083332,239.95549895052656
2019-01-18,244.48233333333334,2.0,4.0,11.5,10.454965277777779,85.69051736111112,245.15975,241.60132,241.44687100625,238.63456200206258
2019-01-19,129.99858333333333,1.0,5.0,11.5,11.870555555555555,42.26912152777778,130.03866666666667,130.0528,130.29047091666666,130.36257100829212
2019-01-20,128.26120833333331,1.0,6.0,11.5,11.500763888888889,119.84715972222222,128.79470833333332,129.51373,129.09968821750002,128.6767782409516
2019-01-21,232.51708333333332,2.0,0.0,11.5,10.649861111111111,138.58354166666666,231.51225,228.56554,228.3644201475,226.44340855282607
2019-01-22,235.40075000000002,2.0,1.0,11.5,10.901215277777778,75.10708333333334,235.29925,233.24014,230.54928104541668,230.56335153109208
2019-01-23,231.07820833333335,2.0,2.0,11.5,11.967986111111111,74.68138541666667,231.01095833333332,229.59059,229.214424075,227.7610281390324
2019-01-24,244.04058333333333,2.0,3.0,11.5,12.80107638888889,109.38869791666666,243.963,236.81615,238.31735548833333,237.03364381425072
2019-01-25,206.26125,2.0,4.0,11.5,13.822534722222223,141.17966319444443,207.59079166666666,207.66083,209.76968228125,209.25979262973397
2019-01-26,124.71820833333334,1.0,5.0,11.5,12.625729166666666,142.3944375,124.7805,126.15965,125.26576308458334,125.08414073374145
2019-01-27,119.594375,1.0,6.0,11.5,11.085,78.34893055555555,119.65808333333332,119.945,119.24440789625,120.17108246349848
2019-01-28,219.32283333333336,2.0,0.0,11.5,11.45513888888889,64.43846875000001,218.7535,219.13306,220.20933779541667,216.73342459909156
2019-01-29,220.4478333333333,2.0,1.0,11.5,11.646076388888888,91.69540625,220.52966666666666,221.04808,222.51466566875,219.9201379368625
2019-01-30,229.29725,2.0,2.0,11.5,11.889930555555557,45.070711805555554,229.33666666666667,227.50966,226.96433221583334,225.630254733991
2019-01-31,215.88108333333332,2.0,3.0,11.5,12.842291666666666,60.72625,215.59687499999998,214.569,216.80891831083332,213.38622513524342
2019-02-01,224.20258333333334,2.0,4.0,11.5,11.015208333333334,116.52263888888889,224.11179166666668,223.17876,224.34272239166668,222.36168761570028
2019-02-02,139.76091666666667,1.0,5.0,11.5,9.775069444444444,127.05957291666665,139.95291666666665,139.51552,138.71594096208332,139.43437836423257
2019-02-03,132.9375,1.0,6.0,11.5,9.657638888888888,155.47074305555554,132.91391666666667,132.38896,132.01998047875,133.03806821722708
2019-02-04,235.92979166666666,0.0,0.0,11.5,9.261621527777779,144.41063194444445,235.7885,234.85847,233.4553478833333,232.73584216087
2019-02-05,232.47,2.875,1.0,11.5,11.271597222222221,159.71696180555557,232.73149999999998,226.65787,228.98888588333332,226.4087221891715
2019-02-06,214.60933333333332,3.0,2.0,11.5,11.780902777777778,148.75032291666665,213.83883333333333,211.17229,212.90772677416666,210.65860604262
2019-02-07,221.978125,3.0,3.0,11.5,11.825138888888889,143.80828125,222.55283333333333,216.69095,219.73663025708333,218.46705440259294
