Date,Power_kW,Holiday,Weekday,Hour,temp_C,solarRad_W/m2,Power-1
2017-07-20 00:00:00,147.8696128,3.0,3,0,16.970833333333335,0.8858333333333333,146.8270895
2017-07-20 01:00:00,146.9989248,3.0,3,1,17.021666666666665,0.8143333333333334,147.8696128
2017-07-20 02:00:00,146.5472554,3.0,3,2,17.063333333333333,1.4903333333333333,146.9989248
2017-07-20 03:00:00,145.2410141,3.0,3,3,17.1875,0.9735,146.5472554
2017-07-20 04:00:00,142.4924865,3.0,3,4,16.705833333333334,1.9517499999999999,145.2410141
2017-07-20 05:00:00,147.876729,3.0,3,5,16.173333333333332,9.384083333333333,142.4924865
2017-07-20 06:00:00,168.8776817,3.0,3,6,16.3825,122.195,147.876729
2017-07-20 07:00:00,198.3709819,3.0,3,7,17.0475,345.1166666666666,168.8776817
2017-07-20 08:00:00,267.9000233,3.0,3,8,18.270833333333332,449.3,198.3709819
2017-07-20 09:00:00,335.4484588,3.0,3,9,18.39,340.3666666666667,267.9000233
2017-07-20 10:00:00,342.2341741,3.0,3,10,19.22,816.2916666666666,335.4484588
2017-07-20 11:00:00,361.7497247,3.0,3,11,19.449166666666667,835.9666666666667,342.2341741
2017-07-20 12:00:00,294.2948463,3.0,3,12,19.593333333333334,877.7833333333333,361.7497247
2017-07-20 13:00:00,291.9215936,3.0,3,13,19.790833333333335,885.1333333333333,294.2948463
2017-07-20 14:00:00,319.2402668,3.0,3,14,19.415833333333335,738.1666666666666,291.9215936
2017-07-20 15:00:00,324.0983291,3.0,3,15,18.860833333333332,448.9083333333333,319.2402668
2017-07-20 16:00:00,306.4859434,3.0,3,16,18.770833333333332,322.60833333333335,324.0983291
2017-07-20 17:00:00,314.5249471,3.0,3,17,18.799166666666668,408.3333333333333,306.4859434
2017-07-20 18:00:00,246.1370093,3.0,3,18,18.279166666666665,226.10833333333335,314.5249471
2017-07-20 19:00:00,216.9304501,3.0,3,19,17.538333333333334,57.16141666666667,246.1370093
2017-07-20 20:00:00,173.061798,3.0,3,20,16.669999999999998,1.5755833333333333,216.9304501
2017-07-20 21:00:00,151.524828,3.0,3,21,16.19333333333333,1.1812500000000001,173.061798
2017-07-20 22:00:00,151.4984562,3.0,3,22,15.9125,1.0106666666666666,151.524828
2017-07-20 23:00:00,148.506722,3.0,3,23,15.748333333333335,1.3613333333333333,151.4984562
2017-07-21 00:00:00,147.6973589,3.0,4,0,15.665,1.06825,148.506722
2017-07-21 01:00:00,143.8755409,3.0,4,1,15.5525,1.6290833333333332,147.6973589
2017-07-21 02:00:00,130.4920617,3.0,4,2,15.344166666666666,1.4329166666666666,143.8755409
2017-07-21 03:00:00,137.3198463,3.0,4,3,15.249166666666667,1.0059166666666666,130.4920617
2017-07-21 04:00:00,136.7641548,3.0,4,4,15.1775,1.4306666666666665,137.3198463
2017-07-21 05:00:00,140.5556243,3.0,4,5,15.185833333333333,10.675833333333335,136.7641548
2017-07-21 06:00:00,163.7163437,3.0,4,6,15.429166666666667,73.77,140.5556243
2017-07-21 07:00:00,191.4764306,3.0,4,7,16.370833333333334,250.83333333333334,163.7163437
2017-07-21 08:00:00,229.528845,3.0,4,8,17.813846153846153,530.8538461538462,191.4764306
2017-07-21 09:00:00,291.0019294,3.0,4,9,18.855,686.2416666666667,229.528845
2017-07-21 10:00:00,309.9674396,3.0,4,10,19.3525,809.1666666666666,291.0019294
