,data,pred_XGB,pred_BT,pred_GB
0,122.528,120.91518,121.87618533999998,122.00354194480029
1,121.191,122.15669,129.15607887,122.76129171971333
2,120.859,121.12408,120.27824262999998,122.00354194480029
3,120.5,119.66377,118.8777954,120.68119415557133
4,120.677,124.60963,122.25292534,123.57186263803305
5,120.219,132.60979,137.84213352,130.7620362741218
6,119.602,144.21017,135.09073851,136.2227393478371
7,128.088,135.99072,133.29280965,139.41940376941872
8,128.227,140.08704,130.66925507999997,137.8489807139495
9,129.57,132.89604,131.06905994,133.9836368717185
10,130.864,134.15353,134.72772858999997,135.37054867490232
11,130.828,131.09915,133.23657074,130.0045876058339
12,131.98,132.36803,133.96346964,132.46566194948107
13,130.628,132.05869,134.55700257999996,137.00875906172556
14,132.736,130.85776,134.40875538999998,133.46616378052255
15,132.29,136.76422,131.84472574,136.89315446426394
16,132.16,133.72906,132.34279695,133.83065579572732
17,129.957,130.90227,127.38684504000003,132.95749155496893
18,129.355,129.94478,127.99387783000002,132.14422279738193
19,123.116,122.85328,123.96008078999998,127.85502468775678
20,122.932,119.37604,120.07852857,122.76779516286594
21,121.853,120.27981,123.45648406000001,121.72054729068331
22,121.396,118.77884,120.42895956,120.96279751577028
23,122.256,121.473465,120.98475571000002,122.00354194480029
24,121.767,122.19546,128.0348797,122.79804485994843
25,121.789,120.83018,121.62123700999999,122.0402950850354
26,120.69,120.83018,121.57709564,122.0402950850354
27,121.364,119.84812,119.17050144999999,120.71794729580644
28,125.225,124.248764,124.68714713,124.9309635674971
29,132.504,134.49834,140.38496107999998,134.836538925011
30,166.317,154.6846,158.78567523,149.07607232902956
31,231.344,228.36516,228.15659048000003,219.69163935720405
32,295.979,286.13492,293.64406981,293.4880066129847
33,327.35,319.72647,319.38650471,315.5328306032351
34,328.725,335.8693,338.99387521999995,337.44867242381207
35,305.098,299.8648,293.98196373,313.9716385355853
36,311.507,290.69116,294.36462692000003,300.11848916691173
37,331.922,322.25714,323.28298002,319.6476642664098
38,336.8,351.83237,332.48711496,336.51549043801987
39,305.396,319.40524,329.58217747,322.91576037162923
40,252.646,274.04584,290.59178512,275.1368193231399
41,197.265,212.88054,215.98198621999995,207.7052475004748
42,179.751,169.68185,171.10498951000002,169.21848833382404
43,136.557,150.82306,144.20491631,158.6741066160773
44,128.869,131.55887,134.24991762,134.1948366828972
45,129.159,126.21654,126.36131689999999,129.7642921828727
46,125.611,127.587685,128.57832715,129.7642921828727
47,126.003,125.53448,127.35994998999999,125.47610353775698
48,125.363,125.05522,127.85117709000001,125.47610353775698
49,125.709,124.865364,123.27062566,124.98350381760324
50,125.845,123.98964,123.99721061,125.47610353775698
51,123.992,125.083855,124.70598413,127.95676023787027
52,126.909,127.802,126.65140669999998,131.60644537009765
53,134.607,137.23515,141.58027338000002,138.03382246655082
54,164.3,165.96413,161.52495176999997,156.15973432147496
55,256.788,245.20772,246.28071468,227.15073074200203
56,327.295,316.955,319.39665576000004,330.5205263838977
57,367.085,359.24054,359.66137115999993,378.7894871386929
58,366.514,362.27246,379.88372786,369.32636056019805
59,353.394,320.77408,319.99833047000004,334.93579097877125
60,346.76,357.39978,366.39212428,347.9392156408027
61,356.158,364.13803,363.34130468999996,358.2821546700246
62,349.478,343.67624,353.92519071000004,351.67864392966453
63,332.288,341.45004,329.22544655,335.87108059066213
64,287.279,302.34528,294.12792955,305.2874843396744
65,223.207,239.93658,239.26954142,238.09062156922892
66,194.522,191.84634,194.7115807,188.15102866478557
67,148.621,159.57751,158.84695827000002,164.73444268531037
68,135.323,149.92456,135.40604896,146.24690100172504
69,133.874,132.62971,133.41698734000002,136.4194155613831
70,131.526,131.58049,131.03502776,134.53408849120635
71,131.264,130.27118,131.94588043000002,131.6149736271139
72,127.45,129.10568,129.55240935,130.68358568546472
73,127.156,126.85126,123.73749024000001,128.3752021176271
74,127.314,127.05894,123.463977,132.19567862787954
75,128.954,126.85126,126.88967382000001,128.3752021176271
76,130.675,130.91151,130.48626409000002,133.39878133927672
77,143.364,141.84923,144.64882068000003,143.55953738621216
78,174.865,168.01665,169.99117862999998,158.96266103690766
79,259.42,252.91841,253.70893911999997,238.35483521765957
80,335.062,327.15402,325.97055945999995,311.1298603970871
81,369.699,369.62173,360.21067901,363.93995693156774
82,380.82,381.85797,379.1271083600001,372.58970753951144
83,337.339,332.83615,341.06776613,348.6940467587268
84,350.586,335.6269,343.64772351,334.090716332849
85,356.463,365.1941,363.16241598,357.9754175803746
86,357.767,352.60498,342.0611457899999,349.0191401153098
87,345.405,336.04834,334.60422631999995,339.43189732183583
88,301.061,305.50977,311.04458112000003,308.6243627437852
89,240.05,238.87668,244.31229004000002,249.53871896831183
90,196.137,203.88597,194.40763524,198.16140922239563
91,157.811,161.0039,158.52811065,164.41638765700236
92,132.736,146.69987,149.04070909,149.22515338171954
93,128.443,130.29057,129.47953109,132.89133602686968
94,126.139,125.03381,127.13373855,127.89781542540618
95,125.282,125.7672,128.31609518,125.44883254405381
96,123.719,124.37882,129.02694077,123.08704220588181
97,123.217,121.96598,122.34627314000002,122.49659698731628
98,122.559,122.01685,123.49239994,122.49659698731628
99,122.824,122.900604,121.24441328999998,120.08966664664216
100,124.205,124.12882,124.86658001999999,121.59985462043534
101,128.113,127.693985,126.58717253000002,129.27512165390317
102,135.472,134.76765,126.68393191999999,130.06475104410762
103,134.661,135.58174,135.52656389999999,137.19236912793446
104,127.123,131.69852,138.17820653000004,137.76504496026146
105,129.706,129.6164,128.89974916,128.5515489803638
106,129.603,127.96014,135.881746,129.93846078354764
107,127.335,132.49818,136.35491051,126.12722641171365
108,129.678,130.02823,130.50252670000003,127.02650914797006
109,132.696,132.8238,136.05778823,132.49874724488595
110,133.161,131.16704,132.90836740999998,133.37490011575332
111,133.952,134.16045,134.66847576000004,134.4629403255414
112,136.507,136.08505,134.57686515,134.88896240782063
113,131.257,134.87878,135.86414387,135.72201018953834
114,128.415,129.49721,129.0671473,131.31196144036147
115,127.77,125.82507,126.55529614000002,128.0123267691184
116,126.8,125.72819,127.16140801000002,128.25010167365497
117,126.808,125.82128,128.49245136000002,126.96400535538126
118,125.503,126.76147,128.51239765,126.96400535538126
119,124.194,123.85071,126.66825535000002,123.08704220588181
120,125.784,122.730736,123.28810220999996,122.66996571879197
121,123.736,123.90057,125.22921319999998,123.57964192603555
122,124.352,122.01685,122.09465268,122.49659698731628
123,122.313,124.09162,123.61601251999998,122.27512560429696
124,123.115,124.12882,121.4999058,121.59985462043534
125,122.164,126.057106,124.93876759,129.10175292242747
126,121.333,121.704124,121.97438890000004,123.47365565509403
127,122.0,124.3962,123.0604466,123.31072160662391
128,121.101,122.92114,124.84439422,126.80709668402201
129,121.602,124.28141,121.35586554000001,121.1485369897654
130,125.02,124.97472,124.16670175000002,121.21445465534624
131,124.644,124.542656,129.85116417,120.34642901608014
132,124.294,126.753944,129.45094071,123.7157853528183
133,125.749,126.23726,126.16208422999998,126.71794984925252
134,126.497,124.861206,125.63228314000003,125.14860403909698
135,127.028,128.16539,131.41645608000002,128.2239540509654
136,129.508,129.02026,125.48432897,129.87674211328226
137,130.548,128.98215,130.29144765,131.21397715061278
138,132.236,129.5574,129.75572337,131.38944997926254
139,131.627,130.86432,132.96831093,131.32958681750625
140,129.827,128.98384,128.15660857999998,131.48987318314178
141,129.326,128.40079,123.86212839000002,130.38301241284285
142,128.314,129.22745,126.06406904,130.38301241284285
143,124.798,127.716385,127.03038621,128.63139047404903
144,126.643,124.36597,123.46056541,124.98350381760324
145,125.369,125.62624,127.18744493,127.34529415577524
146,123.456,125.24953,124.18650153000002,125.499376427729
147,121.388,118.42031,122.59368666999998,124.3930585990377
148,128.603,122.58203,128.02590073,124.9309635674971
149,136.39,137.71326,144.34154734999998,139.00029819158243
150,175.561,159.37953,156.02555241,151.81148793108773
151,285.551,246.38205,257.93648516999997,236.93760015086735
152,367.399,344.02216,344.2642794499999,324.53451623099284
153,395.752,398.41327,399.72258417,383.34234875312444
154,402.244,396.07068,391.96360294,386.220573605432
155,341.176,355.75668,369.35057978,359.6334541585144
156,350.569,342.45605,326.79769213000003,333.02437297304135
157,357.852,361.97833,357.20264034,356.9597471667221
158,355.423,351.20486,361.34213387999995,352.0761802381163
159,325.942,335.67203,346.78569562,334.90612401530586
160,287.592,296.68146,295.31639773999996,298.3900895154824
161,236.133,238.07271,237.51004004,238.42875895654635
162,199.785,195.50835,200.10291847000002,197.1623569238426
163,148.972,162.62604,163.3917194,161.86425907911251
164,137.178,140.70482,138.94633753,141.31451407547365
165,131.169,132.5514,136.50751113999996,134.17460772721506
166,128.515,128.53812,126.21062090000001,129.8622764726214
167,128.091,127.17502,126.58055865000001,128.63139047404903
168,126.622,127.40688,125.12810037000001,128.63139047404903
169,124.645,126.08423,126.57589126,127.34529415577524
170,124.77,124.87555,122.21158859000002,124.98350381760324
171,123.33,124.3973,123.61414975000002,124.98350381760324
172,130.735,126.02621,125.22033888000001,127.28372708149942
173,141.088,141.04135,142.5705554,140.79280914929427
174,167.819,164.86154,178.80226910000002,156.71535861349338
175,275.274,240.12872,254.74309042,223.95332121758793
176,355.091,354.97873,337.20743693,320.6520607318662
177,367.953,382.84573,369.69402015000003,373.9383139978623
178,367.147,368.71036,377.97618859000005,367.7671405991036
179,337.754,325.83057,328.52194739,332.45513427865797
180,338.798,332.4853,326.72182088000005,335.05305915122636
181,354.823,351.7614,347.03725328999997,345.90888168702077
182,353.756,348.13382,351.19037226,349.9143149476381
183,327.113,333.19153,342.23444618999997,334.90612401530586
184,295.61,297.7028,298.41334704999997,298.3900895154824
185,238.243,242.30809,239.70932258,243.71206877536173
186,210.754,199.14346,201.36692303,197.28047610790478
187,158.602,167.53697,170.29252877,166.89513614632338
188,145.452,147.95036,148.43246236,147.87307372124914
189,137.146,137.7301,137.86222632000002,138.3389924123576
190,138.727,134.51251,135.55391941,133.78110448911352
191,138.712,139.36063,138.21008292,140.0359729897225
192,136.726,139.83064,137.95389972,140.0359729897225
193,136.171,134.59451,135.41802092,135.92194260634597
194,135.893,135.12453,134.27894753,135.92194260634597
195,134.953,135.14919,134.4637385,135.92194260634597
196,140.446,138.91609,136.13545946,138.81261108880773
197,149.807,151.82788,154.31326911000002,150.4522939845292
198,175.569,178.27725,182.81607799,167.48492494719014
199,281.48,245.85928,248.62433049999999,234.4569434507541
200,358.965,349.24588,332.96806542999997,327.0151729311061
201,375.127,390.45874,371.10989279000006,377.43506862194175
202,358.409,364.14328,381.54548614000004,370.24052253620056
203,314.657,311.99622,319.51336144000004,327.42916532548065
204,314.79,312.4768,302.42219553000007,309.59865400454555
205,338.176,326.95654,331.25477749000004,322.6012819025871
206,350.004,338.12128,340.65745441,337.9239513039615
207,346.026,332.33182,336.30451673000005,333.9666258513306
